country,share_global_total,emissions_2023,emissions_2000,change_from_2000,region,iso3c,country_wdi,population_2023,population_2000,co2_per_capita_2023,co2_per_capita_2000,co2_per_capita_change
China,34.0%,13259.64,3666.95,262,East Asia & Pacific,CHN,China,1410710000,1262645000,9.399267035747958,2.904181301949479,6.495085733798478
United States,12.0%,4682.04,5928.969999999999,21,North America,USA,United States,336806231,282162411,13.901286760932877,21.01261461081008,-7.111327849877203
India,7.6%,2955.18,995.65,197,South Asia,IND,India,1438069596,1057922733,2.0549631312836683,0.9411367852703095,1.1138263460133588
Russia,5.3%,2069.5,1681.14,23,Europe & Central Asia,RUS,Russian Federation,143826130,146596869,14.388901376961195,11.46777561804543,2.9211257589157658
Japan,2.4%,944.76,1248.81,24,East Asia & Pacific,JPN,Japan,124516650,126843000,7.587419031912599,9.84532059317424,-2.25790156126164
Iran,2.0%,778.8,353.92999999999995,120,Middle East & North Africa,IRN,"Iran, Islamic Rep.",90608707,66418659,8.595200459046392,5.328773650789907,3.266426808256485
Indonesia,1.7%,674.54,299.09,126,East Asia & Pacific,IDN,Indonesia,281190067,216077790,2.3988756331140246,1.384177429804331,1.0146982033096936
Saudi Arabia,1.6%,622.91,265.24,135,Middle East & North Africa,SAU,Saudi Arabia,33702731,16177722,18.48247846739779,16.39538619837824,2.08709226901955
Germany,1.5%,582.9499999999999,871.74,33,Europe & Central Asia,DEU,Germany,83287273,82211508,6.999268663772914,10.603624981553677,-3.6043563177807636
Canada,1.5%,575.01,543.04,6,North America,CAN,Canada,40083484,30685730,14.345309903699988,17.696825201812047,-3.3515152981120586
South Korea,1.5%,573.54,474.16,21,East Asia & Pacific,KOR,"Korea, Rep.",51712619,47008111,11.090909938249307,10.086769919344345,1.0041400189049625
Mexico,1.2%,487.09,396.71,23,Latin America & Caribbean,MEX,Mexico,129739759,98625552,3.7543618375304675,4.022385598409629,-0.2680237608791618
Brazil,1.2%,479.5,349.4,37,Latin America & Caribbean,BRA,Brazil,211140729,174018282,2.2709971793267796,2.0078350158634484,0.2631621634633312
Turkey,1.1%,438.32,227.05,93,Europe & Central Asia,TUR,Turkiye,85325965,65425961,5.137006068434151,3.4703349638226944,1.6666711046114568
South Africa,1.0%,397.37,347.3,14,Sub-Saharan Africa,ZAF,South Africa,63212384,47159719,6.286268209722955,7.364335652636099,-1.0780674429131434
Australia,1.0%,373.62,353.87,6,East Asia & Pacific,AUS,Australia,26659922,19028802,14.014294565452968,18.596546435240644,-4.582251869787676
Vietnam,1.0%,372.95,56.52,560,East Asia & Pacific,VNM,Viet Nam,100352192,77154011,3.716411097427747,0.7325607478786813,2.9838503495490656
"Italy,  San Marino and  Vatican City",0.8%,305.48999999999995,454.72,33,Europe,ITA,Italy,58984216,56942108,5.179182173074911,7.985654482619435,-2.8064723095445245
United Kingdom,0.8%,302.1,551.6800000000001,45,Europe & Central Asia,GBR,United Kingdom,68492000,58892514,4.410734100332886,9.367574289662691,-4.956840189329806
Poland,0.7%,286.90999999999997,313.02,8,Europe & Central Asia,POL,Poland,36687353,38258629,7.820406121967969,8.181683666709542,-0.36127754474157303
Malaysia,0.7%,283.32,130.78,117,East Asia & Pacific,MYS,Malaysia,35126298,22967816,8.065751762397506,5.694054671981002,2.371697090416504
France and  Monaco,0.7%,282.42999999999995,401.21,30,Europe,FRA,France,68372286,60918661,4.130767252684808,6.585995053305587,-2.4552278006207793
Taiwan,0.7%,279.85,238.02,18,East Asia & Pacific,TWN,NA,NA,NA,NA,NA,NA
Thailand,0.7%,274.16,174.82000000000002,57,East Asia & Pacific,THA,Thailand,71702435,63007815,3.823580049966225,2.774576455317488,1.0490035946487373
Egypt,0.6%,249.33,127.91,95,Middle East & North Africa,EGY,"Egypt, Arab Rep.",114535772,73083284,2.1768744877364603,1.7501950240769149,0.42667946365954545
Kazakhstan,0.6%,239.87,132.22,81,Europe & Central Asia,KAZ,Kazakhstan,20330104,15501103,11.798759120956785,8.529715595077331,3.2690435258794537
Spain and  Andorra,0.6%,217.26,313.24,31,Europe,ESP,Spain,48352528,40567864,4.493250073708659,7.7213826195039506,-3.228132545795291
United Arab Emirates,0.5%,205.99,88.46000000000001,133,Middle East & North Africa,ARE,United Arab Emirates,10483751,3493575,19.648501762394012,25.320767408743198,-5.672265646349185
Pakistan,0.5%,200.51,111.87,79,South Asia,PAK,Pakistan,247504495,154879127,0.8101267009312295,0.7223052077249893,0.08782149320624022
Iraq,0.5%,192.91,88.81,117,Middle East & North Africa,IRQ,Iraq,45074049,24424056,4.279846259207821,3.6361691931921545,0.6436770660156661
Argentina,0.5%,183.78,136.76,34,Latin America & Caribbean,ARG,Argentina,45538401,37213984,4.035714824506025,3.6749626162036293,0.3607522083023955
Algeria,0.5%,180.36,87.94000000000001,105,Middle East & North Africa,DZA,Algeria,46164219,30903893,3.906921938828858,2.845596184273613,1.061325754555245
Philippines,0.4%,161.29,74.25,117,East Asia & Pacific,PHL,Philippines,114891199,79625397,1.4038499154317294,0.932491426071006,0.47135848936072344
Uzbekistan,0.4%,137.9,130.67,6,Europe & Central Asia,UZB,Uzbekistan,35652307,24787054,3.8679123906343564,5.271703527171885,-1.4037911365375288
