iso3c,country_wdi,population_2023,population_2000
AFE,Africa Eastern and Southern,750491370,406156661
AFW,Africa Western and Central,509398589,274968446
ARB,Arab World,482105978,286548096
CSS,Caribbean small states,4519904,3956229
CEB,Central Europe and the Baltics,100183707,108447824
EAR,Early-demographic dividend,3511607650,2509431470
EAS,East Asia & Pacific,2384441485,2050149617
EAP,East Asia & Pacific (excluding high income),2137527754,1819011507
TEA,East Asia & Pacific (IDA & IBRD countries),2111139152,1795374943
EMU,Euro area,349762722,325789631
ECS,Europe & Central Asia,924773523,865392479
ECA,Europe & Central Asia (excluding high income),248721385,218486598
TEC,Europe & Central Asia (IDA & IBRD countries),458602212,438423541
EUU,European Union,448897545,429339162
FCS,Fragile and conflict affected situations,1057033168,621080692
HPC,Heavily indebted poor countries (HIPC),917304254,481984327
,High income,1408190184,1255696330
IBD,IBRD only,4952212190,3983328255
IBT,IDA & IBRD total,6858521511,5116723507
IDB,IDA blend,664395892,394129957
IDX,IDA only,1241913429,739265295
IDA,IDA total,1906309321,1133395252
LTE,Late-demographic dividend,2326296729,2043581322
LCN,Latin America & Caribbean,657616517,520272118
LAC,Latin America & Caribbean (excluding high income),589889543,462953688
TLA,Latin America & the Caribbean (IDA & IBRD countries),642397939,504556065
LDC,Least developed countries: UN classification,1160824674,673630102
LMY,Low & middle income,6498875200,4814250279
,Low income,607774703,322668237
,Lower middle income,3082002881,2126559759
MEA,"Middle East, North Africa, Afghanistan & Pakistan",797801454,494850317
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",729077445,462980522
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",723911670,460058369
MIC,Middle income,5891100497,4491582042
NAC,North America,376954413,312909691
,Not classified,NA,NA
OED,OECD members,1387897706,1202226474
OSS,Other small states,12822134,9788238
PSS,Pacific island small states,2689224,2042274
PST,Post-demographic dividend,1121315547,1021150563
PRE,Pre-demographic dividend,1078224044,562428025
SST,Small states,20031262,15786741
SAS,South Asia,1662580579,1237185482
TSA,South Asia (IDA & IBRD),1662580579,1237185482
SSF,Sub-Saharan Africa,1259889959,681125107
SSA,Sub-Saharan Africa (excluding high income),1131078494,613632482
TSS,Sub-Saharan Africa (IDA & IBRD countries),1259889959,681125107
,Upper middle income,2809097616,2365022283
WLD,World,8064057930,6161884811
AFG,Afghanistan,41454761,20130327
